Cách tính,Phân loại tiêu chuẩn ngoại thương,Năm,Giá trị
Trị giá (Triệu đô la Mỹ),"Dầu, mỡ, chất béo, sáp động, thực vật",2001,83.1
Trị giá (Triệu đô la Mỹ),"Dầu, mỡ, chất béo, sáp động, thực vật",2002,130.6
Trị giá (Triệu đô la Mỹ),"Dầu, mỡ, chất béo, sáp động, thực vật",2003,152.4
Trị giá (Triệu đô la Mỹ),"Dầu, mỡ, chất béo, sáp động, thực vật",2004,223.6
Trị giá (Triệu đô la Mỹ),"Dầu, mỡ, chất béo, sáp động, thực vật",2005,188.3
Trị giá (Triệu đô la Mỹ),"Dầu, mỡ, chất béo, sáp động, thực vật",2006,253.7
Trị giá (Triệu đô la Mỹ),"Dầu, mỡ, chất béo, sáp động, thực vật",2007,472.9
Trị giá (Triệu đô la Mỹ),"Dầu, mỡ, chất béo, sáp động, thực vật",2008,636.2
Trị giá (Triệu đô la Mỹ),"Dầu, mỡ, chất béo, sáp động, thực vật",2009,482.1
Trị giá (Triệu đô la Mỹ),"Dầu, mỡ, chất béo, sáp động, thực vật",2010,682
Trị giá (Triệu đô la Mỹ),"Dầu, mỡ, chất béo, sáp động, thực vật",2011,893.1
Trị giá (Triệu đô la Mỹ),"Dầu, mỡ, chất béo, sáp động, thực vật",2012,717.4
Trị giá (Triệu đô la Mỹ),"Dầu, mỡ, chất béo, sáp động, thực vật",2013,669.2
Trị giá (Triệu đô la Mỹ),"Dầu, mỡ, chất béo, sáp động, thực vật",2014,736.7
Trị giá (Triệu đô la Mỹ),"Dầu, mỡ, chất béo, sáp động, thực vật",2015,662.4
Trị giá (Triệu đô la Mỹ),"Dầu, mỡ, chất béo, sáp động, thực vật",2016,677.6
Trị giá (Triệu đô la Mỹ),"Dầu, mỡ, chất béo, sáp động, thực vật",2017,734
Trị giá (Triệu đô la Mỹ),"Dầu, mỡ, chất béo, sáp động, thực vật",2018,722.6
Trị giá (Triệu đô la Mỹ),"Dầu, mỡ, chất béo, sáp động, thực vật",2019,720.3
Trị giá (Triệu đô la Mỹ),"Dầu, mỡ, chất béo, sáp động, thực vật",2020,932.2
Trị giá (Triệu đô la Mỹ),"Dầu, mỡ, chất béo, sáp động, thực vật",2021,1333.8
Trị giá (Triệu đô la Mỹ),"Dầu, mỡ, chất béo, sáp động, thực vật",2022,1643.8
Trị giá (Triệu đô la Mỹ),"Dầu, mỡ, chất béo, sáp động, thực vật",2023,1320.1
Trị giá (Triệu đô la Mỹ),"Dầu, mỡ, chất béo, sáp động, thực vật",Sơ bộ 2024,1382
Trị giá (Triệu đô la Mỹ),Hàng hóa thuộc ngành công nghiệp chế tạo,1995,6240.9
Trị giá (Triệu đô la Mỹ),Hàng hóa thuộc ngành công nghiệp chế tạo,1996,8973.1
Trị giá (Triệu đô la Mỹ),Hàng hóa thuộc ngành công nghiệp chế tạo,1997,9428.591
Trị giá (Triệu đô la Mỹ),Hàng hóa thuộc ngành công nghiệp chế tạo,1998,9511.972
Trị giá (Triệu đô la Mỹ),Hàng hóa thuộc ngành công nghiệp chế tạo,1999,9470.469
Trị giá (Triệu đô la Mỹ),Hàng hóa thuộc ngành công nghiệp chế tạo,2000,12101.2
Trị giá (Triệu đô la Mỹ),Hàng hóa thuộc ngành công nghiệp chế tạo,2001,12531.8
Trị giá (Triệu đô la Mỹ),Hàng hóa thuộc ngành công nghiệp chế tạo,2002,15531.8
Trị giá (Triệu đô la Mỹ),Hàng hóa thuộc ngành công nghiệp chế tạo,2003,19791.9
Trị giá (Triệu đô la Mỹ),Hàng hóa thuộc ngành công nghiệp chế tạo,2004,24084.3
Trị giá (Triệu đô la Mỹ),Hàng hóa thuộc ngành công nghiệp chế tạo,2005,26633.1
Trị giá (Triệu đô la Mỹ),Hàng hóa thuộc ngành công nghiệp chế tạo,2006,31531
Trị giá (Triệu đô la Mỹ),Hàng hóa thuộc ngành công nghiệp chế tạo,2007,46027.8
Trị giá (Triệu đô la Mỹ),Hàng hóa thuộc ngành công nghiệp chế tạo,2008,56219.4
Trị giá (Triệu đô la Mỹ),Hàng hóa thuộc ngành công nghiệp chế tạo,2009,53225.4
Trị giá (Triệu đô la Mỹ),Hàng hóa thuộc ngành công nghiệp chế tạo,2010,63910.6
Trị giá (Triệu đô la Mỹ),Hàng hóa thuộc ngành công nghiệp chế tạo,2011,77056.1
Trị giá (Triệu đô la Mỹ),Hàng hóa thuộc ngành công nghiệp chế tạo,2012,86780.5
Trị giá (Triệu đô la Mỹ),Hàng hóa thuộc ngành công nghiệp chế tạo,2013,104202.8
Trị giá (Triệu đô la Mỹ),Hàng hóa thuộc ngành công nghiệp chế tạo,2014,117072.1
Trị giá (Triệu đô la Mỹ),Hàng hóa thuộc ngành công nghiệp chế tạo,2015,136281.3
Trị giá (Triệu đô la Mỹ),Hàng hóa thuộc ngành công nghiệp chế tạo,2016,145011.8
Trị giá (Triệu đô la Mỹ),Hàng hóa thuộc ngành công nghiệp chế tạo,2017,175759.7
Trị giá (Triệu đô la Mỹ),Hàng hóa thuộc ngành công nghiệp chế tạo,2018,191195.7
Trị giá (Triệu đô la Mỹ),Hàng hóa thuộc ngành công nghiệp chế tạo,2019,206928.9
Trị giá (Triệu đô la Mỹ),Hàng hóa thuộc ngành công nghiệp chế tạo,2020,218298.2
Trị giá (Triệu đô la Mỹ),Hàng hóa thuộc ngành công nghiệp chế tạo,2021,270071.1
Trị giá (Triệu đô la Mỹ),Hàng hóa thuộc ngành công nghiệp chế tạo,2022,284033
Trị giá (Triệu đô la Mỹ),Hàng hóa thuộc ngành công nghiệp chế tạo,2023,256172.1
Trị giá (Triệu đô la Mỹ),Hàng hóa thuộc ngành công nghiệp chế tạo,Sơ bộ 2024,305833.9
Trị giá (Triệu đô la Mỹ),Hoá chất và sản phẩm liên quan,1995,1285.2
Trị giá (Triệu đô la Mỹ),Hoá chất và sản phẩm liên quan,1996,1814.6
Trị giá (Triệu đô la Mỹ),Hoá chất và sản phẩm liên quan,1997,1948.473
Trị giá (Triệu đô la Mỹ),Hoá chất và sản phẩm liên quan,1998,2153.78
Trị giá (Triệu đô la Mỹ),Hoá chất và sản phẩm liên quan,1999,2040.436
Trị giá (Triệu đô la Mỹ),Hoá chất và sản phẩm liên quan,2000,2401.7
Trị giá (Triệu đô la Mỹ),Hoá chất và sản phẩm liên quan,2001,2490
Trị giá (Triệu đô la Mỹ),Hoá chất và sản phẩm liên quan,2002,2932.6
Trị giá (Triệu đô la Mỹ),Hoá chất và sản phẩm liên quan,2003,3622.9
Trị giá (Triệu đô la Mỹ),Hoá chất và sản phẩm liên quan,2004,4693.5
Trị giá (Triệu đô la Mỹ),Hoá chất và sản phẩm liên quan,2005,5309.9
