Ngành kinh tế,Năm,Số dự án và tổng vốn đăng ký,Giá trị
Hoạt động hành chính và dịch vụ hỗ trợ,2016,Số dự án,58
Hoạt động hành chính và dịch vụ hỗ trợ,2016,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),188.6
Hoạt động hành chính và dịch vụ hỗ trợ,2017,Số dự án,67
Hoạt động hành chính và dịch vụ hỗ trợ,2017,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),110.806038682
Hoạt động hành chính và dịch vụ hỗ trợ,2018,Số dự án,77
Hoạt động hành chính và dịch vụ hỗ trợ,2018,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),193.7621967624444
Hoạt động hành chính và dịch vụ hỗ trợ,2019,Số dự án,67
Hoạt động hành chính và dịch vụ hỗ trợ,2019,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),127.7196771792181
Hoạt động hành chính và dịch vụ hỗ trợ,2020,Số dự án,60
Hoạt động hành chính và dịch vụ hỗ trợ,2020,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),42.9
Hoạt động hành chính và dịch vụ hỗ trợ,2021,Số dự án,39
Hoạt động hành chính và dịch vụ hỗ trợ,2021,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),46.85789831
Hoạt động hành chính và dịch vụ hỗ trợ,2022,Số dự án,60
Hoạt động hành chính và dịch vụ hỗ trợ,2022,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),66.29890305
