"Khối nước, nước và vùng lãnh thổ",Năm,Giá trị
I-xra-en,2011,170.8
I-xra-en,2012,279.3
I-xra-en,2013,404.5
I-xra-en,2014,495.8
I-xra-en,2015,533.7
I-xra-en,2016,554.1
I-xra-en,2017,711.4
I-xra-en,2018,779.8
I-xra-en,2019,774.03470875
I-xra-en,2020,683.38432734
I-xra-en,2021,780.63280352
I-xra-en,2022,785.63868314
I-xra-en,2023,631.1963893
I-xra-en,Sơ bộ 2024,794.55511
Síp,1995,
Síp,1996,
Síp,1997,
Síp,1998,
Síp,1999,
Síp,2000,1.5
Síp,2001,2.5
Síp,2002,1.5
Síp,2003,2.1
Síp,2004,2.9
Síp,2005,4.8
Síp,2006,5.9
Síp,2007,7
Síp,2008,19.7
Síp,2009,12
Síp,2010,13.9
Síp,2011,19.3
Síp,2012,17.7
Síp,2013,16.6
Síp,2014,28.7
Síp,2015,33.4
Síp,2016,38.1
Síp,2017,39.3
