Phân loại tiêu chuẩn ngoại thương,Năm,Giá trị
"Máy móc, phương tiện vận tảI và phụ tùng",2003,1792.8
"Máy móc, phương tiện vận tảI và phụ tùng",2004,2562.1
"Máy móc, phương tiện vận tảI và phụ tùng",2005,3145.1
"Máy móc, phương tiện vận tảI và phụ tùng",2006,4194.7
"Máy móc, phương tiện vận tảI và phụ tùng",2007,5601.2
"Máy móc, phương tiện vận tảI và phụ tùng",2008,7368.4
"Máy móc, phương tiện vận tảI và phụ tùng",2009,7398.8
"Máy móc, phương tiện vận tảI và phụ tùng",2010,11476.1
"Máy móc, phương tiện vận tảI và phụ tùng",2011,18834.9
"Máy móc, phương tiện vận tảI và phụ tùng",2012,30703.7
"Máy móc, phương tiện vận tảI và phụ tùng",2013,43027.1
"Máy móc, phương tiện vận tảI và phụ tùng",2014,48619
"Máy móc, phương tiện vận tảI và phụ tùng",2015,60563.8
"Máy móc, phương tiện vận tảI và phụ tùng",2016,70028.6
"Máy móc, phương tiện vận tảI và phụ tùng",2017,90022.8
"Máy móc, phương tiện vận tảI và phụ tùng",2018,102966.9
"Máy móc, phương tiện vận tảI và phụ tùng",2019,115099.14054287
"Máy móc, phương tiện vận tảI và phụ tùng",2020,135071.8169408581
"Máy móc, phương tiện vận tảI và phụ tùng",2021,162348.1
"Máy móc, phương tiện vận tảI và phụ tùng",2022,177679.2
"Máy móc, phương tiện vận tảI và phụ tùng",2023,154169.1
"Máy móc, phương tiện vận tảI và phụ tùng",Sơ bộ 2024,179338.9
Hàng chế biến khác,1995,1314.7
Hàng chế biến khác,1996,1847.4
Hàng chế biến khác,1997,2979.081
Hàng chế biến khác,1998,3006.654
Hàng chế biến khác,1999,3550.781
Hàng chế biến khác,2000,4051.9
Hàng chế biến khác,2001,4408.2
Hàng chế biến khác,2002,5690.6
Hàng chế biến khác,2003,7260.3
Hàng chế biến khác,2004,9054.6
Hàng chế biến khác,2005,10494.5
Hàng chế biến khác,2006,12679.1
Hàng chế biến khác,2007,16280.7
Hàng chế biến khác,2008,19408.8
Hàng chế biến khác,2009,20112.4
Hàng chế biến khác,2010,25168.9
Hàng chế biến khác,2011,30520.9
Hàng chế biến khác,2012,32584.9
Hàng chế biến khác,2013,37469.5
Hàng chế biến khác,2014,45114.8
Hàng chế biến khác,2015,49991.1
Hàng chế biến khác,2016,54139.6
Hàng chế biến khác,2017,62201.8
Hàng chế biến khác,2018,69652.2
Hàng chế biến khác,2019,76215.26877631691
Hàng chế biến khác,2020,74097.85641436715
Hàng chế biến khác,2021,79069.4
Hàng chế biến khác,2022,93529.4
Hàng chế biến khác,2023,103011.9
Hàng chế biến khác,Sơ bộ 2024,116489.4
Hàng hoá không thuộc các nhóm trên,1995,0
Hàng hoá không thuộc các nhóm trên,1996,7.7
Hàng hoá không thuộc các nhóm trên,1997,2.763
Hàng hoá không thuộc các nhóm trên,1998,3.718
Hàng hoá không thuộc các nhóm trên,1999,4.616
Hàng hoá không thuộc các nhóm trên,2000,6.4
Hàng hoá không thuộc các nhóm trên,2001,0.4
Hàng hoá không thuộc các nhóm trên,2002,2
Hàng hoá không thuộc các nhóm trên,2003,4.3
Hàng hoá không thuộc các nhóm trên,2004,3.3
Hàng hoá không thuộc các nhóm trên,2005,5.4
Hàng hoá không thuộc các nhóm trên,2006,7.4
Hàng hoá không thuộc các nhóm trên,2007,17.6
Hàng hoá không thuộc các nhóm trên,2008,360.9
Hàng hoá không thuộc các nhóm trên,2009,822.6
Hàng hoá không thuộc các nhóm trên,2010,36.7
Hàng hoá không thuộc các nhóm trên,2011,62.9
Hàng hoá không thuộc các nhóm trên,2012,86.7
Hàng hoá không thuộc các nhóm trên,2013,77.9
Hàng hoá không thuộc các nhóm trên,2014,10.6
Hàng hoá không thuộc các nhóm trên,2015,6.7
Hàng hoá không thuộc các nhóm trên,2016,6.3
Hàng hoá không thuộc các nhóm trên,2017,8.3
Hàng hoá không thuộc các nhóm trên,2018,11.8
Hàng hoá không thuộc các nhóm trên,2019,13.0658661
Hàng hoá không thuộc các nhóm trên,2020,15.5919823322338
Hàng hoá không thuộc các nhóm trên,2021,34.1
Hàng hoá không thuộc các nhóm trên,2022,22
Hàng hoá không thuộc các nhóm trên,2023,27.1
Hàng hoá không thuộc các nhóm trên,Sơ bộ 2024,44.3
