Trị giá và cơ cấu,Khu vực kinh tế và nhóm hàng,Năm,Giá trị
Cơ cấu (%),Khu vực kinh tế trong nước,1997,65
Cơ cấu (%),Khu vực kinh tế trong nước,1998,65.7
Cơ cấu (%),Khu vực kinh tế trong nước,1999,59.43299772991145
Cơ cấu (%),Khu vực kinh tế trong nước,2000,53
Cơ cấu (%),Khu vực kinh tế trong nước,2001,54.8
Cơ cấu (%),Khu vực kinh tế trong nước,2002,52.9
Cơ cấu (%),Khu vực kinh tế trong nước,2003,49.6
Cơ cấu (%),Khu vực kinh tế trong nước,2004,45.3
Cơ cấu (%),Khu vực kinh tế trong nước,2005,42.8
Cơ cấu (%),Khu vực kinh tế trong nước,2006,42.1
Cơ cấu (%),Khu vực kinh tế trong nước,2007,42.8
Cơ cấu (%),Khu vực kinh tế trong nước,2008,44.9
Cơ cấu (%),Khu vực kinh tế trong nước,2009,46.8
Cơ cấu (%),Khu vực kinh tế trong nước,2010,45.8
Cơ cấu (%),Khu vực kinh tế trong nước,2011,43.1
Cơ cấu (%),Khu vực kinh tế trong nước,2012,36.9
Cơ cấu (%),Khu vực kinh tế trong nước,2013,33.2
Cơ cấu (%),Khu vực kinh tế trong nước,2014,32.6
Cơ cấu (%),Khu vực kinh tế trong nước,2015,29.4
Cơ cấu (%),Khu vực kinh tế trong nước,2016,28.5
Cơ cấu (%),Khu vực kinh tế trong nước,2017,28
Cơ cấu (%),Khu vực kinh tế trong nước,2018,28.6
Cơ cấu (%),Khu vực kinh tế trong nước,2019,29.88992417981056
Cơ cấu (%),Khu vực kinh tế trong nước,2020,27.66768112482395
Cơ cấu (%),Khu vực kinh tế trong nước,2021,26.56122936139983
Cơ cấu (%),Khu vực kinh tế trong nước,2022,25.8
Cơ cấu (%),Khu vực kinh tế trong nước,2023,27
Cơ cấu (%),Khu vực kinh tế trong nước,Sơ bộ 2024,28.3
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài(*),1995,27
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài(*),1996,29.7
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài(*),1997,35
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài(*),1998,34.3
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài(*),1999,40.56700227008855
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài(*),2000,47
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài(*),2001,45.2
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài(*),2002,47.1
